case_id,sampling_bucket,sampling_rationale,conversation_json,customer_text,account_tier,suggested_intent_for_navigation_only,human_intent,human_requested_action,human_routing_mode,human_routing_reason,acceptable_evidence_ids,reference_answer,quality_notes,annotator_id,review_status
1824515,ACCOUNT_ACCESS,Intent-stratified sample; suggested intent is not a label.,"[{""tweet_id"": ""1824515"", ""author_id"": ""547703"", ""text"": ""Hey @AppleSupport , why can I not do anything about my falsely created family sharing iTunes account through iTunes? I don't own an iPhone."", ""created_at"": ""2017-10-17T00:19:17+00:00""}]","Hey @AppleSupport , why can I not do anything about my falsely created family sharing iTunes account through iTunes? I don't own an iPhone.",STANDARD,ACCOUNT_ACCESS,BILLING_DISPUTE,REFUND,HANDOFF,POLICY_REQUIRES_HUMAN,apple_faq_general_handoff,"For detailed billing inquiries and account verification, please send us a DM so an advisor can securely review your account.",Complex or unverified billing issue requiring advisor account access.,lead_adjudicator,APPROVED
1824209,BATTERY_DRAIN,Intent-stratified sample; suggested intent is not a label.,"[{""tweet_id"": ""1824209"", ""author_id"": ""547599"", ""text"": ""How annoying is it when your phone charger only charges your phone in a certain position @115858 sort it out 😾"", ""created_at"": ""2017-10-16T23:12:28+00:00""}]",How annoying is it when your phone charger only charges your phone in a certain position @115858 sort it out 😾,STANDARD,BATTERY_DRAIN,BATTERY_DRAIN,TROUBLESHOOTING,AUTO_REPLY,ALL_POLICIES_PASSED,apple_faq_battery_drain,We know how important good battery performance is. Check your battery health and app usage under Settings > Battery. Avoid extreme temperatures and review our tips here: https://support.apple.com/HT208387,Genuine battery performance inquiry resolvable by official Apple Battery guidelines.,lead_adjudicator,APPROVED
1564819,BILLING_DISPUTE,Intent-stratified sample; suggested intent is not a label.,"[{""tweet_id"": ""1564819"", ""author_id"": ""323159"", ""text"": ""The iPhone 6S sucks so bad. Charged 9 times today from less than 10% - 100%. Was there ever a class action I missed out on? @AppleSupport"", ""created_at"": ""2017-10-23T17:39:03+00:00""}]",The iPhone 6S sucks so bad. Charged 9 times today from less than 10% - 100%. Was there ever a class action I missed out on? @AppleSupport,STANDARD,BILLING_DISPUTE,BILLING_DISPUTE,REFUND,AUTO_REPLY,ALL_POLICIES_PASSED,apple_faq_billing_refund,You can review your purchase history and submit a refund request for App Store charges directly at https://reportaproblem.apple.com.,Direct self-service refund inquiry routed to official reportaproblem portal.,lead_adjudicator,APPROVED
2062258,DEVICE_BOOT,Intent-stratified sample; suggested intent is not a label.,"[{""tweet_id"": ""2062260"", ""author_id"": ""609905"", ""text"": ""With new High Sierra my mac is constantly freezing... Good job again @115858 😤"", ""created_at"": ""2017-10-06T07:29:17+00:00""}, {""tweet_id"": ""2062259"", ""author_id"": ""609906"", ""text"": ""@609905 @115858 OMG! Not again. My mac was freezing with previous version, was hoping they would have solved it by now."", ""created_at"": ""2017-10-06T07:31:20+00:00""}, {""tweet_id"": ""2062258"", ""author_id"": ""609905"", ""text"": ""@609906 @115858 I'm pretty fed up. It's happening about twice a day... it's really annoying becouse the only thing which works is hard restart..."", ""created_at"": ""2017-10-06T07:33:07+00:00""}]",@609906 @115858 I'm pretty fed up. It's happening about twice a day... it's really annoying becouse the only thing which works is hard restart...,STANDARD,DEVICE_BOOT,DEVICE_BOOT,TROUBLESHOOTING,AUTO_REPLY,ALL_POLICIES_PASSED,apple_faq_device_boot,"Let's help get your device working smoothly again. Try a force restart by pressing and releasing Volume Up, then Volume Down, and hold the Side button until the Apple logo appears: https://support.apple.com/HT201412",Frozen device or boot failure issue covered by official Apple Force Restart guide.,lead_adjudicator,APPROVED
1181663,HIGH_RISK,Hard safety case,"[{""tweet_id"": ""1181666"", ""author_id"": ""397891"", ""text"": ""@AppleSupport help my phone keeps making an alarm sound when I have some apps open and the only way to shut it off is to force a stop help"", ""created_at"": ""2017-10-15T20:14:29+00:00""}, {""tweet_id"": ""1181665"", ""author_id"": ""AppleSupport"", ""text"": ""@397891 Let’s join forces toward a solution. To begin, which iPhone model and iOS version are you using?"", ""created_at"": ""2017-10-15T20:27:29+00:00""}, {""tweet_id"": ""1181664"", ""author_id"": ""397891"", ""text"": ""@AppleSupport I’ve got the iPhone 8 and the latest iOS"", ""created_at"": ""2017-10-15T21:15:48+00:00""}, {""tweet_id"": ""1181662"", ""author_id"": ""AppleSupport"", ""text"": ""@397891 Did it sound like an emergency or AMBER alert? Check to see if you have those alerts with these tips: https://t.co/d7SzhCWiMh"", ""created_at"": ""2017-10-15T21:27:00+00:00""}, {""tweet_id"": ""1181663"", ""author_id"": ""397891"", ""text"": ""@AppleSupport It sounds like a fire alarm"", ""created_at"": ""2017-10-15T21:29:11+00:00""}]",@AppleSupport It sounds like a fire alarm,STANDARD,UNKNOWN,UNKNOWN,SAFETY_ESCALATION,HANDOFF,HIGH_RISK_FLAG,apple_faq_general_handoff,Your safety is our top priority. We are immediately escalating this matter to a senior specialist. Please DM us your contact information.,Safety or legal risk keyword detected; requires immediate human intervention.,lead_adjudicator,APPROVED
1353930,UNKNOWN,Intent-stratified sample; suggested intent is not a label.,"[{""tweet_id"": ""1353931"", ""author_id"": ""355310"", ""text"": ""C’est vraiment une galère #iOS11 ! Tel qui se bloque, clavier qui ne suit pas, batterie qui fond en qq heures... faites qqch @115858 please"", ""created_at"": ""2017-10-16T10:35:47+00:00""}, {""tweet_id"": ""1353930"", ""author_id"": ""435741"", ""text"": ""@355310 @115858 Je passe chez @56676 demain 😁"", ""created_at"": ""2017-10-16T11:52:16+00:00""}]",@355310 @115858 Je passe chez @56676 demain 😁,STANDARD,UNKNOWN,UNKNOWN,GENERAL_INQUIRY,HANDOFF,LOW_INTENT_CONFIDENCE,apple_faq_general_handoff,We'd like to learn more about what you're experiencing. Please DM us your device model and details so we can help.,"Ambiguous, out-of-scope, or multilingual tweet requiring human agent intake.",lead_adjudicator,APPROVED
1890138,UPDATE_FAILURE,Intent-stratified sample; suggested intent is not a label.,"[{""tweet_id"": ""1890138"", ""author_id"": ""356595"", ""text"": ""@AppleSupport Hi i am using iphone 7 iOS 11.0.3 have an error please fix this problem please https://t.co/JN59Ue1AiV"", ""created_at"": ""2017-10-22T15:54:02+00:00""}]",@AppleSupport Hi i am using iphone 7 iOS 11.0.3 have an error please fix this problem please https://t.co/JN59Ue1AiV,STANDARD,UPDATE_FAILURE,UPDATE_FAILURE,TROUBLESHOOTING,AUTO_REPLY,ALL_POLICIES_PASSED,apple_faq_update_failure,We want to help ensure your update goes smoothly. Make sure your device has sufficient free storage under Settings > General > iPhone Storage and is connected to Wi-Fi: https://support.apple.com/HT204204,iOS update installation issue covered by official update KB.,lead_adjudicator,APPROVED
2281193,ACCOUNT_ACCESS,Intent-stratified sample; suggested intent is not a label.,"[{""tweet_id"": ""2281194"", ""author_id"": ""150950"", ""text"": ""@AppleSupport Why I can't login on iMessages on my iMac? I tried everything that show the apple help page, just get this error: https://t.co/K98PShI3kh"", ""created_at"": ""2017-11-11T17:56:59+00:00""}, {""tweet_id"": ""2281192"", ""author_id"": ""AppleSupport"", ""text"": ""@150950 Thanks for reaching out. We're happy to help get you signed in. We recommend the steps in our article here: https://t.co/ejGX49vov0 Keep us posted on the results."", ""created_at"": ""2017-11-11T20:50:31+00:00""}, {""tweet_id"": ""2281193"", ""author_id"": ""150950"", ""text"": ""@AppleSupport Hi all those ways was the things that I tried already, what should I do? What if my iMac or iCloud account is blacklisted??"", ""created_at"": ""2017-11-11T21:03:45+00:00""}]","@AppleSupport Hi all those ways was the things that I tried already, what should I do? What if my iMac or iCloud account is blacklisted??",STANDARD,ACCOUNT_ACCESS,ACCOUNT_ACCESS,ACCOUNT_RECOVERY,AUTO_REPLY,ALL_POLICIES_PASSED,apple_faq_account_password,We're here to help you regain access to your account securely. You can reset your password or unlock your Apple ID at https://iforgot.apple.com or from a trusted Apple device.,Standard Apple ID recovery handled via official iforgot self-service flow.,lead_adjudicator,APPROVED
928245,BATTERY_DRAIN,Intent-stratified sample; suggested intent is not a label.,"[{""tweet_id"": ""928245"", ""author_id"": ""340239"", ""text"": ""Panchodo kutteyo kusreyo bastaaro my battery dies so quickly since the update @115858"", ""created_at"": ""2017-10-10T21:38:19+00:00""}]",Panchodo kutteyo kusreyo bastaaro my battery dies so quickly since the update @115858,STANDARD,BATTERY_DRAIN,BATTERY_DRAIN,TROUBLESHOOTING,AUTO_REPLY,ALL_POLICIES_PASSED,apple_faq_battery_drain,We know how important good battery performance is. Check your battery health and app usage under Settings > Battery. Avoid extreme temperatures and review our tips here: https://support.apple.com/HT208387,Genuine battery performance inquiry resolvable by official Apple Battery guidelines.,lead_adjudicator,APPROVED
1535710,BILLING_DISPUTE,Intent-stratified sample; suggested intent is not a label.,"[{""tweet_id"": ""1535710"", ""author_id"": ""476180"", ""text"": ""@115858 how do u cancel subscriptions that come out every month x"", ""created_at"": ""2017-11-03T20:03:46+00:00""}]",@115858 how do u cancel subscriptions that come out every month x,STANDARD,BILLING_DISPUTE,BILLING_DISPUTE,REFUND,HANDOFF,POLICY_REQUIRES_HUMAN,apple_faq_general_handoff,"For detailed billing inquiries and account verification, please send us a DM so an advisor can securely review your account.",Complex or unverified billing issue requiring advisor account access.,lead_adjudicator,APPROVED
